plan_id,state,metal_level,rate,rate_area
03584UW8758085,AL,Silver,268.26,11
14324EQ6876885,AL,Silver,271.77,11
70199NV7431040,AL,Silver,237.13,12
65682MU4752448,AL,Silver,251.53,12
36160HW8142908,AL,Silver,287.48,12
14510QW0282890,AL,Silver,303.29,12
65392ON5819785,AL,Silver,305.02,12
17558QG8872134,AL,Silver,310.76,12
54828LI9664121,AL,Silver,248.03,13
88913TF7204052,AL,Silver,253.37,13
73838XS0335937,AL,Silver,263.1,13
16912HI8598649,AL,Silver,267.3,13
52295JD3261558,AL,Silver,268.82,13
14561QN7177699,AL,Silver,273.9,13
56661OC9364476,AR,Silver,323.68,1
56397IA8732300,AR,Silver,328.93,1
31146YT0939902,AR,Silver,336.82,1
76273EP2432681,AR,Silver,342.06,1
44330WW5512364,AR,Silver,342.28,1
61463CK8998055,AR,Silver,355.95,1
49004RU4402905,AR,Silver,363.05,1
95581FL2796482,AR,Silver,363.05,1
20529IO1918840,AR,Silver,281.05,2
09953MM7476586,AR,Silver,285.61,2
68987DC1669204,AR,Silver,292.46,2
14578FR9602049,AR,Silver,297.01,2
09446SQ5596000,AR,Silver,297.2,2
82608KE8991299,AR,Silver,309.07,2
42641MY3483715,AR,Silver,399.35,2
70635HC6749321,AR,Silver,399.35,2
72036UU6379516,AR,Silver,295.97,3
24846PF4947837,AR,Silver,300.77,3
32165TK9237197,AR,Silver,307.99,3
37852NJ4422528,AR,Silver,312.78,3
43372BX1419420,AR,Silver,312.98,3
30965RN7885379,AR,Silver,325.47,3
68837KZ5005088,AR,Silver,326.74,3
00563VL4118590,AR,Silver,326.74,3
06939PO2375886,AR,Silver,271.01,4
49532IR7164847,AR,Silver,275.4,4
87796TS3500813,AR,Silver,282.0,4
72686WR6573419,AR,Silver,286.39,4
26509RJ1922972,AR,Silver,286.57,4
38251PP8302367,AR,Silver,298.02,4
40841TN8963264,AR,Silver,363.05,4
08151TB5458412,AR,Silver,363.05,4
85869KR2551245,AR,Silver,264.92,5
14837RH4779745,AR,Silver,269.21,5
22831BK0472874,AR,Silver,275.67,5
26197IT7300337,AR,Silver,279.96,5
97935RE3832377,AR,Silver,280.13,5
36516OY1191068,AR,Silver,291.32,5
56791GK6287265,AR,Silver,399.35,5
19808YL7202972,AR,Silver,399.35,5
96975TJ6466423,AR,Silver,283.49,6
56611GD9041614,AR,Silver,288.08,6
59974HP6809182,AR,Silver,294.99,6
14358ET1878212,AR,Silver,299.59,6
97770EQ9451682,AR,Silver,299.77,6
72702SR6086203,AR,Silver,311.75,6
70868ZH9499930,AR,Silver,399.35,6
37387XW8476777,AR,Silver,399.35,6
87121FK9647083,AR,Silver,281.97,7
25398ML2686748,AR,Silver,286.54,7
33116ZE0784444,AR,Silver,293.41,7
82896YG4424063,AR,Silver,297.98,7
17340KX0547317,AR,Silver,298.16,7
64317GZ0231833,AR,Silver,310.07,7
54386TP5548106,AR,Silver,326.74,7
64749KT7405266,AR,Silver,326.74,7
45519FL9126162,AZ,Silver,201.12,1
03587OD2668083,AZ,Silver,209.35,1
72251NK5152472,AZ,Silver,269.47,1
89475VI1031255,AZ,Silver,269.47,1
79079SW8155437,AZ,Silver,269.47,1
49130QQ8854457,AZ,Silver,271.39,1
52855YO6981478,AZ,Silver,271.39,1
21381XR4846323,AZ,Silver,271.39,1
59089FT5694924,AZ,Silver,289.79,1
59686VN6293863,AZ,Silver,289.79,1
04419KC9270571,AZ,Silver,289.79,1
16685LZ7696773,AZ,Silver,301.38,1
74964WY1570484,AZ,Silver,301.38,1
14825LL6069575,AZ,Silver,301.38,1
67670WH2998858,AZ,Silver,301.38,1
38404LM3678975,AZ,Silver,317.97,1
91579QU4378107,AZ,Silver,317.97,1
93058ZU3614460,AZ,Silver,317.97,1
64182RG3696764,AZ,Silver,325.44,1
62608NS0085506,AZ,Silver,327.75,1
06853QE6751450,AZ,Silver,339.02,1
85976LR6297045,AZ,Silver,339.02,1
84606EN0317829,AZ,Silver,339.02,1
01614QU0764323,AZ,Silver,345.8,1
93816OL9037495,AZ,Silver,349.97,1
99827FG5208434,AZ,Silver,361.69,1
42997DJ0269602,AZ,Silver,366.56,1
64447PW4223609,AZ,Silver,368.36,1
55870IB6789495,AZ,Silver,384.01,1
75847WS1834431,AZ,Silver,389.14,1
81962QX4160183,AZ,Silver,396.55,1
89906OB2160989,AZ,Silver,409.43,1
52412PP9525076,AZ,Silver,413.18,1
96853EM6552662,AZ,Silver,425.16,1
31763YS4996199,AZ,Silver,428.47,1
88581PU9085290,AZ,Silver,431.36,1
35793RQ0975181,AZ,Silver,458.22,1
46333UM5531445,AZ,Silver,462.19,1
76100VK3186831,AZ,Silver,470.07,1
43602DN9549796,AZ,Silver,474.57,1
43479SF6868588,AZ,Silver,209.35,2
47626MM2378813,AZ,Silver,292.9,2
49384EW3797331,AZ,Silver,292.9,2
28635YK8801554,AZ,Silver,292.9,2
67967DB8080392,AZ,Silver,294.35,2
60823PF6946241,AZ,Silver,294.99,2
75340SZ1209190,AZ,Silver,294.99,2
14961BT1716865,AZ,Silver,294.99,2
29750RY9394804,AZ,Silver,313.56,2
36246YO5851235,AZ,Silver,314.99,2
76958GB5989660,AZ,Silver,314.99,2
77020KP6142869,AZ,Silver,314.99,2
40833OI8485368,AZ,Silver,345.62,2
03466LE1829051,AZ,Silver,345.62,2
69819CF6375727,AZ,Silver,345.62,2
09669UL7912437,AZ,Silver,353.73,2
43938NS4318508,AZ,Silver,356.25,2
36772VP8194014,AZ,Silver,361.69,2
78064XE1674412,AZ,Silver,366.56,2
50426YB9936157,AZ,Silver,368.5,2
49778XA1390510,AZ,Silver,368.5,2
07150US9925620,AZ,Silver,368.5,2
55700KR1095538,AZ,Silver,380.4,2
29964KV3970528,AZ,Silver,391.8,2
70691KN8718222,AZ,Silver,403.16,2
02672EZ3588273,AZ,Silver,406.3,2
05630YS2251580,AZ,Silver,409.04,2
19341DQ2700436,AZ,Silver,409.2,2
64875VB5128196,AZ,Silver,416.99,2
23328UI8791980,AZ,Silver,417.4,2
97073BR8563511,AZ,Silver,445.04,2
36386GX4868032,AZ,Silver,493.02,2
84756TJ1226467,AZ,Silver,497.29,2
81453BS2107326,AZ,Silver,505.77,2
01505QU5442374,AZ,Silver,510.61,2
59147ON0278677,AZ,Silver,209.35,3
17895PS8060911,AZ,Silver,255.96,3
82848YJ2592777,AZ,Silver,272.66,3
66785NF0033762,AZ,Silver,276.53,3
65026QZ4125390,AZ,Silver,284.55,3
75419JK7966220,AZ,Silver,286.77,3
27722FP4166678,AZ,Silver,288.7,3
74710LB9491661,AZ,Silver,292.9,3
61520II8854193,AZ,Silver,292.9,3
84971KT2723014,AZ,Silver,292.9,3
30501FD2986458,AZ,Silver,294.99,3
72484QX9037764,AZ,Silver,294.99,3
06897JW3802114,AZ,Silver,294.99,3
11832HZ0073571,AZ,Silver,314.99,3
70388ZV7229621,AZ,Silver,314.99,3
17409VS2528090,AZ,Silver,314.99,3
34979QB1937757,AZ,Silver,345.62,3
92828GM6210341,AZ,Silver,345.62,3
12028QL8602262,AZ,Silver,345.62,3
17444BE2495616,AZ,Silver,353.73,3
31555MA1006796,AZ,Silver,356.25,3
62719EW9682696,AZ,Silver,361.69,3
14898SJ1234254,AZ,Silver,366.56,3
94583OM9998069,AZ,Silver,368.5,3
65140UT9927541,AZ,Silver,368.5,3
85352RS1899667,AZ,Silver,368.5,3
32687BF4673406,AZ,Silver,380.4,3
33909TB0042095,AZ,Silver,417.4,3
00406JF0048618,AZ,Silver,421.24,3
35888SX1271378,AZ,Silver,429.25,3
80803WZ0122148,AZ,Silver,445.04,3
98584HG6334961,AZ,Silver,467.77,3
14676ZS9958812,AZ,Silver,471.82,3
63200WG1022541,AZ,Silver,479.87,3
44316HR4159159,AZ,Silver,484.46,3
61450XX9011807,AZ,Silver,161.58,4
45172OI9473031,AZ,Silver,172.09,4
51671TS4572626,AZ,Silver,189.63,4
87171MQ4566575,AZ,Silver,190.0,4
27766GS5487331,AZ,Silver,191.76,4
92611DN6027378,AZ,Silver,197.24,4
28448RB0505293,AZ,Silver,201.17,4
28027OH7074686,AZ,Silver,213.07,4
77291DW6838682,AZ,Silver,234.32,4
18122ZN1873842,AZ,Silver,234.32,4
16292BC4901490,AZ,Silver,234.32,4
60148MR3876013,AZ,Silver,236.0,4
01834FL2737368,AZ,Silver,236.0,4
83096SL8671795,AZ,Silver,236.0,4
83364JF7680914,AZ,Silver,245.66,4
94446XJ9746674,AZ,Silver,250.52,4
38110YO3839843,AZ,Silver,250.94,4
18519RW0247262,AZ,Silver,251.15,4
59691GX5945834,AZ,Silver,251.99,4
60109WS4575301,AZ,Silver,251.99,4
95690ET9349053,AZ,Silver,251.99,4
95949CQ0655070,AZ,Silver,253.89,4
15858VD8292042,AZ,Silver,255.16,4
18104HS9501724,AZ,Silver,258.76,4
23990OK8598217,AZ,Silver,262.56,4
67504HR8373798,AZ,Silver,264.6,4
81310HN3115293,AZ,Silver,266.39,4
47845JW3387589,AZ,Silver,267.31,4
02336HG1902534,AZ,Silver,276.5,4
78638FJ4766914,AZ,Silver,276.5,4
03894WZ4333799,AZ,Silver,276.5,4
85676LD8727684,AZ,Silver,282.99,4
93397IN4929917,AZ,Silver,285.0,4
31397VZ2478960,AZ,Silver,294.8,4
75408VN1205295,AZ,Silver,294.8,4
20066OF8675297,AZ,Silver,294.8,4
38973GF7910874,AZ,Silver,304.32,4
53124ON9372527,AZ,Silver,306.35,4
34567GR6906152,AZ,Silver,312.19,4
24737RV8297065,AZ,Silver,333.92,4
27397MJ5617089,AZ,Silver,341.19,4
42185PV9311064,AZ,Silver,344.15,4
19475RS6760307,AZ,Silver,350.01,4
72190DW3284384,AZ,Silver,353.37,4
50591VE7975261,AZ,Silver,356.03,4
66257QS3649067,AZ,Silver,209.35,5
49138FF4006632,AZ,Silver,226.04,5
45477UG6414847,AZ,Silver,226.04,5
50377FG3522895,AZ,Silver,228.47,5
04403AO9573984,AZ,Silver,228.47,5
12838LY4181609,AZ,Silver,228.47,5
55946SR2585531,AZ,Silver,230.1,5
70970WA6219607,AZ,Silver,230.1,5
58142BT3697108,AZ,Silver,230.1,5
06160FI7117744,AZ,Silver,245.69,5
39505TP6414321,AZ,Silver,245.69,5
20526FP2798603,AZ,Silver,245.69,5
42312UB1148976,AZ,Silver,269.58,5
21655LP9501081,AZ,Silver,269.58,5
58404YR1595913,AZ,Silver,269.58,5
37674CS8175445,AZ,Silver,275.91,5
85546OR6350189,AZ,Silver,277.88,5
18788OX4280275,AZ,Silver,287.43,5
53682XO3853000,AZ,Silver,287.43,5
39040OI5785968,AZ,Silver,287.43,5
02635NB6894653,AZ,Silver,296.72,5
42554JW9121071,AZ,Silver,303.86,5
01591SL7801591,AZ,Silver,312.67,5
80425QQ2525239,AZ,Silver,314.93,5
53290PY2018393,AZ,Silver,315.11,5
29776CS1959853,AZ,Silver,317.23,5
88299XL8309818,AZ,Silver,324.73,5
52286HP7027856,AZ,Silver,325.57,5
86567ED6390537,AZ,Silver,330.91,5
36912LD7555097,AZ,Silver,335.48,5
69876EW3335401,AZ,Silver,347.13,5
68534NB7921214,AZ,Silver,361.69,5
59691EV2892648,AZ,Silver,366.56,5
40698AJ9434344,AZ,Silver,379.06,5
34701BK0978043,AZ,Silver,382.35,5
69321DK2914858,AZ,Silver,388.87,5
89580GG8206261,AZ,Silver,392.59,5
54490YC1409579,AZ,Silver,165.5,6
55344YV7370251,AZ,Silver,174.65,6
39017QS4903759,AZ,Silver,183.93,6
82918DK8343044,AZ,Silver,194.72,6
97064IW1110817,AZ,Silver,194.72,6
81416NG6773140,AZ,Silver,194.72,6
46865GO0404835,AZ,Silver,196.11,6
82414YX3598667,AZ,Silver,196.11,6
33814MP8857058,AZ,Silver,196.11,6
28472WF6473506,AZ,Silver,197.82,6
26339OX2745735,AZ,Silver,209.41,6
64167QE2948403,AZ,Silver,209.41,6
64653VI5444244,AZ,Silver,209.41,6
93689RC1401589,AZ,Silver,211.87,6
38403EI7042264,AZ,Silver,215.06,6
39048PJ8224931,AZ,Silver,218.01,6
48843XS4578234,AZ,Silver,219.7,6
96333HZ0089943,AZ,Silver,221.19,6
87398ND0880198,AZ,Silver,226.04,6
46720GE1869348,AZ,Silver,229.09,6
83769DF9165562,AZ,Silver,229.77,6
18396YU8153867,AZ,Silver,229.77,6
71209EG6630488,AZ,Silver,229.77,6
26859XG9481810,AZ,Silver,231.83,6
05577HS2853311,AZ,Silver,232.82,6
69970RG3855635,AZ,Silver,235.16,6
12050NG6074580,AZ,Silver,235.96,6
77293RR6263500,AZ,Silver,236.84,6
92407PL6966448,AZ,Silver,244.98,6
44145OS8637533,AZ,Silver,244.98,6
76675KH0572400,AZ,Silver,244.98,6
12873ZR9153735,AZ,Silver,252.89,6
41266WV9693740,AZ,Silver,277.49,6
38193BB5623190,AZ,Silver,283.19,6
08177SP4918521,AZ,Silver,285.64,6
40819FR6628629,AZ,Silver,290.51,6
23783BR0350530,AZ,Silver,293.29,6
45029NT8214999,AZ,Silver,295.86,6
38575QA0298115,AZ,Silver,305.27,6
08414UC7397344,AZ,Silver,311.08,6
13254NI2399333,AZ,Silver,209.35,7
71511VY1294658,AZ,Silver,234.32,7
34627QB2414405,AZ,Silver,234.32,7
95918OP2814765,AZ,Silver,234.32,7
71994KJ2607972,AZ,Silver,236.0,7
57210VW2310305,AZ,Silver,236.0,7
01495GY6812605,AZ,Silver,236.0,7
76800IQ8388822,AZ,Silver,251.99,7
53160WH0398223,AZ,Silver,251.99,7
04854DV8272471,AZ,Silver,251.99,7
11358TO9180996,AZ,Silver,276.5,7
58900VF3851148,AZ,Silver,276.5,7
97906BH4499088,AZ,Silver,276.5,7
25219BD4801040,AZ,Silver,282.99,7
45751GV1956655,AZ,Silver,285.0,7
31438SR9762974,AZ,Silver,294.8,7
60026TS7728882,AZ,Silver,294.8,7
70476XA2125148,AZ,Silver,294.8,7
37902RN9768674,AZ,Silver,298.99,7
45102VC8890238,AZ,Silver,304.32,7
58996UN0636145,AZ,Silver,307.66,7
33169TI0350747,AZ,Silver,310.06,7
99957WV7910250,AZ,Silver,312.15,7
17360SS9870129,AZ,Silver,320.2,7
70258NY7267307,AZ,Silver,333.92,7
28706VT1854053,AZ,Silver,341.09,7
46568XD1237028,AZ,Silver,343.92,7
54821YQ0115738,AZ,Silver,346.9,7
15945LD5543548,AZ,Silver,352.81,7
45837ST4888639,AZ,Silver,356.03,7
64029MQ1736505,AZ,Silver,356.19,7
99232HY2418053,AZ,Silver,361.69,7
27524BC6187139,AZ,Silver,366.56,7
33437CE6369713,AZ,Silver,429.26,7
69378NT5210012,AZ,Silver,437.42,7
19004FQ4975326,DE,Silver,289.77,1
51731RS5584018,DE,Silver,293.2,1
41962XU0044285,DE,Silver,293.2,1
80657DZ1213170,DE,Silver,318.71,1
79780PM6076909,DE,Silver,328.51,1
12775ZE2722544,DE,Silver,339.81,1
36472OX6314516,DE,Silver,350.26,1
79434HO3289430,FL,Silver,291.87,1
09379NE2255273,FL,Silver,292.3,1
35465II7962797,FL,Silver,297.02,1
48529MY3099740,FL,Silver,309.77,1
59935MN9461779,FL,Silver,321.08,1
93885VD6095564,FL,Silver,324.61,1
93629DC8894806,FL,Silver,326.65,1
06652HW3012332,FL,Silver,330.9,1
95441XW6504690,FL,Silver,340.29,1
90078KM7611831,FL,Silver,356.11,1
40473TO3280749,FL,Silver,359.89,1
88155ZP7628802,FL,Silver,375.97,1
97632TH5667162,FL,Silver,291.13,2
76581HE0307681,FL,Silver,294.44,2
50509SG6519149,FL,Silver,294.87,2
49684KE6062884,FL,Silver,298.24,2
74443LX9579499,FL,Silver,320.76,2
81933EL3772434,FL,Silver,322.4,2
40088EU9928048,FL,Silver,324.61,2
34730SK7142463,FL,Silver,330.9,2
42179PE6373850,FL,Silver,335.09,2
32212CF3559777,FL,Silver,338.38,2
97639ND1636437,FL,Silver,366.01,2
31153CU4447069,FL,Silver,371.72,2
70294BU1748521,FL,Silver,389.0,2
94947RT7011750,FL,Silver,403.26,2
18144WC0132181,FL,Silver,421.28,2
04524DP0379446,FL,Silver,257.16,3
58990ER8374115,FL,Silver,267.27,3
25507NZ6808535,FL,Silver,283.32,3
60685WQ4773123,FL,Silver,288.92,3
31919TV2842428,FL,Silver,295.98,3
13696AZ7164556,FL,Silver,323.3,3
39123DO4406555,FL,Silver,325.6,3
47588BP7079703,FL,Silver,326.02,3
43660HY5768768,FL,Silver,331.91,3
36137WZ9469091,FL,Silver,356.2,3
77311RZ4793124,FL,Silver,358.14,3
67284PJ8849388,FL,Silver,372.12,3
79505TX4037453,FL,Silver,374.79,3
22780CX2244747,FL,Silver,284.47,4
53275YS8717422,FL,Silver,287.16,4
33339CU3032494,FL,Silver,291.87,4
28082FU3930770,FL,Silver,292.3,4
03350KS5423894,FL,Silver,306.55,4
67625BO7935073,FL,Silver,307.53,4
86493HH7719116,FL,Silver,315.46,4
18462JT3021866,FL,Silver,324.61,4
16323YH3879821,FL,Silver,330.13,4
26943FK0455851,FL,Silver,330.9,4
27527ZU1912352,FL,Silver,337.74,4
40986LU7640997,FL,Silver,352.84,4
71667DX9562448,FL,Silver,288.14,5
15087ID5988226,FL,Silver,290.73,5
37914RG3462990,FL,Silver,291.15,5
54612MP0146833,FL,Silver,294.73,5
21589EV4936641,FL,Silver,304.81,5
68027MJ8305420,FL,Silver,306.75,5
45946FW3188632,FL,Silver,307.34,5
45955NQ5135783,FL,Silver,316.92,5
57498BJ0842056,FL,Silver,317.45,5
47611RQ0564723,FL,Silver,318.6,5
55701GL1512317,FL,Silver,320.94,5
11539CB9488561,FL,Silver,321.28,5
64178TH2700712,FL,Silver,321.9,5
67783LQ3721490,FL,Silver,323.57,5
43255FQ3482976,FL,Silver,323.77,5
94391SF1386614,FL,Silver,324.86,5
83590ZB6238106,FL,Silver,325.78,5
89102VO5895846,FL,Silver,326.86,5
80395MS5323416,FL,Silver,328.49,5
01265PI7119676,FL,Silver,331.64,5
70991UI5915978,FL,Silver,332.14,5
81806IV1418153,FL,Silver,335.87,5
99773NW2326434,FL,Silver,336.39,5
88904PD3920118,FL,Silver,337.07,5
34980SC0306901,FL,Silver,338.91,5
72389GX7289301,FL,Silver,339.6,5
45287JN0875080,FL,Silver,340.66,5
18078WR5501856,FL,Silver,341.37,5
29916XQ2388930,FL,Silver,341.68,5
18339RR2199063,FL,Silver,341.79,5
47252VA3974422,FL,Silver,341.8,5
27923XR9858766,FL,Silver,342.81,5
37445FN9120011,FL,Silver,343.92,5
55712PP5785042,FL,Silver,346.18,5
22061OG7308118,FL,Silver,347.86,5
47409YI0915839,FL,Silver,360.7,5
19955MH7469115,FL,Silver,360.86,5
36259TE4613618,FL,Silver,361.87,5
81318FH3928065,FL,Silver,362.25,5
93104LZ4211636,FL,Silver,366.04,5
76861BV5949292,FL,Silver,366.5,5
76072UZ0367938,FL,Silver,374.17,5
57756MX2351531,FL,Silver,377.54,5
09275PG8367640,FL,Silver,377.63,5
56945QV0650627,FL,Silver,377.8,5
55216XU3412941,FL,Silver,381.6,5
74554BD3253377,FL,Silver,386.4,5
35278WM9347774,FL,Silver,386.47,5
68347GT0951823,FL,Silver,399.11,5
02608GZ2986151,FL,Silver,411.21,5
33897EX1989530,FL,Silver,416.94,5
77361SW2442276,FL,Silver,234.75,6
04576KY4422682,FL,Silver,235.79,6
56936SL6660658,FL,Silver,265.12,6
54020QI0256277,FL,Silver,285.31,6
28931JS5562312,FL,Silver,285.43,6
58586QQ4850409,FL,Silver,285.73,6
60312FK0754058,FL,Silver,290.73,6
20677XV1485296,FL,Silver,297.45,6
74554TJ8859425,FL,Silver,299.98,6
20943EU3465893,FL,Silver,300.4,6
59011DH7611946,FL,Silver,300.84,6
01817US4284500,FL,Silver,302.98,6
45518XN6069982,FL,Silver,306.43,6
69078BS0287897,FL,Silver,308.24,6
64872ML7821518,FL,Silver,308.85,6
71115VX7713627,FL,Silver,312.62,6
26067WX7862153,FL,Silver,313.97,6
12422HF6948607,FL,Silver,314.6,6
81099EK9167930,FL,Silver,316.18,6
65494ON9234998,FL,Silver,323.96,6
35688HI5901980,FL,Silver,324.61,6
94084VK8325056,FL,Silver,324.73,6
68210RJ6425874,FL,Silver,354.09,6
97774XW8811808,FL,Silver,367.65,6
45284TZ2077226,FL,Silver,370.96,6
02489EO0891491,FL,Silver,371.22,6
20615EP8976474,FL,Silver,378.65,6
13698RY4868552,FL,Silver,379.66,6
58213DK2537215,FL,Silver,387.13,6
60308HC9466252,FL,Silver,390.12,6
36539SL0129429,FL,Silver,394.62,6
69591UA9307794,FL,Silver,404.05,6
64704NP2233106,FL,Silver,407.55,6
35448RV5716604,FL,Silver,415.95,6
87894VZ5769960,FL,Silver,435.3,6
64620BC6758620,FL,Silver,445.16,6
84953XL0701708,FL,Silver,490.46,6
91523PF3706731,FL,Silver,512.38,6
30496SG6068351,FL,Silver,285.03,7
41042LC9238092,FL,Silver,308.12,7
71909LU8360539,FL,Silver,325.6,7
66821PQ7633373,FL,Silver,328.32,7
52206HI1570237,FL,Silver,331.91,7
00915ME5651320,FL,Silver,361.73,7
30221GV8987316,FL,Silver,377.9,7
64041YG5071552,FL,Silver,281.03,8
61587VN9145064,FL,Silver,281.44,8
42934QY0593522,FL,Silver,286.14,8
39731JN4329652,FL,Silver,286.74,8
00287KI9592822,FL,Silver,298.47,8
17006DW3305620,FL,Silver,305.99,8
60474GC9189432,FL,Silver,315.25,8
26476NL1276073,FL,Silver,327.87,8
36420OY9756065,FL,Silver,329.34,8
75781TN2074218,FL,Silver,330.79,8
38198MN8729575,FL,Silver,343.12,8
39169LL8728267,FL,Silver,346.89,8
95740DL3413172,FL,Silver,353.59,8
76748SB8963162,FL,Silver,359.73,8
85939NM6384017,FL,Silver,396.34,8
25492CW3480739,FL,Silver,414.05,8
86864HT0861365,FL,Silver,271.98,9
33050TF3108502,FL,Silver,281.14,9
15663XW8562669,FL,Silver,289.1,9
07230LG8635662,FL,Silver,298.77,9
67650ZX9726907,FL,Silver,309.75,9
40272UZ0412965,FL,Silver,312.52,9
82472OH6395974,FL,Silver,312.67,9
50088KP9254589,FL,Silver,323.58,9
45423ZS8946910,FL,Silver,324.61,9
61929IF1840829,FL,Silver,329.81,9
69245AK8509717,FL,Silver,330.3,9
81567KU6698326,FL,Silver,330.9,9
03853BX0234950,FL,Silver,353.45,9
12577ZC1200961,FL,Silver,389.42,9
64597BS0231008,FL,Silver,406.82,9
93318HY2000146,FL,Silver,281.81,10
88465YX0349883,FL,Silver,294.44,10
36580JX6064512,FL,Silver,294.87,10
89514CV8034325,FL,Silver,299.74,10
45580SE3562174,FL,Silver,310.48,10
17698SI7358473,FL,Silver,324.02,10
06933JL2418828,FL,Silver,324.35,10
10591EK4117142,FL,Silver,324.61,10
63400OR2497937,FL,Silver,327.43,10
66380BX1150906,FL,Silver,330.9,10
45269BE1553683,FL,Silver,354.29,10
91816QP9084951,FL,Silver,359.69,10
97444LN9024055,FL,Silver,376.42,10
05625KX8674101,FL,Silver,390.34,10
92029LI7285130,FL,Silver,407.78,10
43980GY0549693,FL,Silver,295.13,11
71787UG4506642,FL,Silver,308.36,11
25048JU8457024,FL,Silver,317.29,11
29734PF2829470,FL,Silver,325.16,11
57680TK8389466,FL,Silver,338.74,11
14430OS9712513,FL,Silver,339.69,11
86015FF5072465,FL,Silver,343.0,11
84798PD2561620,FL,Silver,346.89,11
82920JB6099722,FL,Silver,348.07,11
31791WG1373583,FL,Silver,348.58,11
24254MC9202544,FL,Silver,353.59,11
44712CU7464531,FL,Silver,354.49,11
00992YU2843550,FL,Silver,371.04,11
93446OU7100037,FL,Silver,408.79,11
37797CJ2806140,FL,Silver,427.07,11
29100BO0804689,FL,Silver,288.65,12
47539LD8704234,FL,Silver,312.04,12
71388TN6513547,FL,Silver,324.61,12
80334GD5375503,FL,Silver,324.61,12
83179HL1770897,FL,Silver,330.9,12
94662XK0241135,FL,Silver,338.79,12
01138BB2913375,FL,Silver,356.59,12
55746VC7838693,FL,Silver,373.17,12
